texlive-games 2020.55271-1
texlive-humanities 2020.55389-1
texlive-latexextra 2020.55418-1
texlive-music 2020.54758-2
texlive-pictures 2020.55342-1
texlive-pstricks 2020.55289-1
texlive-publishers 2020.55415-1
texlive-science 2020.55390-1
tslib 1.22-1
ttf-font-awesome 5.14.0-1
ttf-liberation 2.1.1-1
tzdata 2020a-1
unzip 6.0-14
usbutils 012-2
util-linux 2.36-1
v4l-utils 1.20.0-1
vid.stab 1.1-3
vim 8.2.0814-3
vim-runtime 8.2.0814-3
vlc 3.0.11-1
vmaf 1.5.2-1
vpnc 1:0.5.3.r468.r81-1
vulkan-icd-loader 1.2.147-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webrtc-audio-processing 0.3.1-2
wget 1.20.3-3
which 2.21-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
x264 3:0.159.r2999.296494a-1
x265 3.4-1
xautolock 2.2-6
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xkeyboard-config 2.30-2
xmlrpc-c 1:1.51.06-1
xmlsec 1.2.30-2
xorg-bdftopcf 1.1-2
xorg-fonts-encodings 1.0.5-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-3
xorg-server-common 1.20.8-3
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xfd 1.1.3-2
xorg-xinit 1.4.1-2
xorg-xkbcomp 1.4.3-1
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.4-2
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.0-2
xorg-xset 1.2.4-2
xorgproto 2020.1-1
xsel 1.2.0.20190821-1
xvidcore 1.3.7-2
xz 5.2.5-1
yajl 2.1.0-3
zathura 0.4.5-1
zathura-pdf-mupdf 0.3.5-3
zeromq 4.3.2-2
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zstd 1.4.5-1
zziplib 0.13.71-1
